Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
View Mylyn Task,00:00,,,,,,,Both,Mylyn Window,,
Activate Mylyn Task,00:26,,,,,,,Mouse,Mylyn Window,,
Run ,01:05,FreeMind-integration,Project,,,,Debugging,Mouse,Eclipse,Reproducing Bug,
File Search,03:10,„Save Failed“,String,,,Any File Contains String,Navigation,Mouse,Search Dialog,0 matches in Workspace,
Expand,04:09,FreeMind-integration,Project,,,,Navigation,Mouse,Package Explorer,,
Expand,04:22,freemind.modes.mindmapmode.actions,Package,,,,Navigation,Mouse,Package Explorer,,
Scan,04:22,Packages,,,,,Navigation,,Package Explorer,,
Expand,04:34,freemind.modes.common.actions,Package,,,,Navigation,Mouse,Package Explorer,,
Scan,04:34,Packages,,,,,Navigation,,Package Explorer,,
Expand,05:00,freemind.modes.mindmapmode.actions.xml,Package,,,,Navigation,Mouse,Package Explorer,,
Collapse,05:03,freemind.modes.mindmapmode.actions.xml,Package,,,,Navigation,Mouse,Package Explorer,,
Scan,05:03,Packages,,,,,Navigation,,Package Explorer,,
Open Type,06:17,FilterComposerDialog.SaveAction,Class,,,Project Contains Type,Navigation,Keyboard,Java Editor,Ctrl+Shift+T,Filter String: Save*
Scan,06:17,FilterComposerDialog.SaveAction,Class,,,,Navigation,,Java Editor,,
Set Breakpoint,06:35,,Instruction,FilterComposerDialog.SaveAction,actionPerformed,,Debugging,Mouse,Java Editor,,
Open Type,06:41,ControllerAdapter.SaveAction,Class,,,Project Contains Type,Navigation,Keyboard,Java Editor,Ctrl+Shift+T,Filter String: Save*
Set Breakpoint,06:45,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Debugging,Mouse,Java Editor,,
Debug,07:10,FreeMind-integration,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,08:09,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Debugging,,Java Editor,,
Step Over,08:13,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Debugging,Mouse,Eclipse,,
Open Declaration,08:24,ModeController.save(),Instruction,ControllerAdapter.SaveAction,actionPerformed,Declaration,Navigation,Keyboard,Java Editor,F3,
Show Instruction,08:33,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Navigation,Mouse,Debug Window,Click on Stacktrace,
Edit Code,08:38,actionPerformed,Method,ControllerAdapter.SaveAction,,,Edit Code,Keyboard,Java Editor,Added empty line,
Show Variable,08:43,mc,Field,ControllerAdapter.SaveAction,,,Debugging,Mouse,Java Editor,Mouse Hover,
Set Breakpoint,08:53,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Debugging,Mouse,Java Editor,,
Edit Code,09:08,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,,int test = 10;
Delete Code,09:14,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,,Previously entered code
Resume,09:16,FreeMind-integration,Project,,,,Debugging,Mouse,Eclipse,,
Step Into,09:28,,Method,ControllerAdapter,save,,Debugging,Mouse,Eclipse,,
Step Over,09:31,,Method,ControllerAdapter,save,,Debugging,Mouse,Eclipse,,
Scan,09:35,save ,Method,ControllerAdapter,,,Navigation,,Java Editor,,
Set Breakpoint,09:42,,Instruction,ControllerAdapter,save,,Debugging,Mouse,Java Editor,,
Set Breakpoint,09:43,,Instruction,ControllerAdapter,save,,Debugging,Mouse,Java Editor,In two different branches,
Step Over,09:47,,Instruction,ControllerAdapter,save,,Debugging,Mouse,Eclipse,,
Step Into,09:48,,,,,,Debugging,Mouse,Eclipse,,
Step Out,09:49,,Instruction,MindMapMapModel,save,,Debugging,Mouse,Eclipse,,
Step Into,09:50,,Instruction,ControllerAdapter,getModel,,Debugging,Mouse,Eclipse,,
Step Into,09:52,,Instruction,ControllerAdapter,save,,Debugging,Mouse,Eclipse,,
Step Into,09:53,,Instruction,MapAdapter,getFile,,Debugging,Mouse,Eclipse,,
Expand,09:55,this,Variable,MindMapMapModel,,,Debugging,Mouse,Variables Window,,
Scan,09:56,MindMapMapModel,Class,,,,Debugging,Mouse,Variables Window,,
Step Out,10:02,,Instruction,ControllerAdapter,,,Debugging,Mouse,Eclipse,,
Step Into,10:03,,Instruction,ControllerAdapter,,,Debugging,Mouse,Eclipse,,
Step Out,10:04,,Instruction,ControllerAdapter,,,Debugging,Mouse,Eclipse,,
Step Into,10:05,,Instruction,ControllerAdapter,,,Debugging,Mouse,Eclipse,,
Step Out,10:06,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Step Into,10:07,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Step Out,10:08,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Scan,10:09,saveInternal,Method,MindMapMapModel,,,Navigation,,Java Editor,,
Step Into,10:12,,Method,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Scan,10:15,saveInternal,Method,MindMapMapModel,,,Navigation,,Java Editor,,
Expand,10:21,this,Variable,MindMapMapModel,saveInternal,,Debugging,Mouse,Variables Window,,
Scan,10:24,MindMapModel,Class,,,,Debugging,,Variables Window,,
Step Over,10:30,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Scan,10:30,saveinternal,Method,MindMapMapModel,,,Debugging,,Eclipse,,
Step Over,10:34,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Step Over,10:35,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Step Over,10:36,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Step Over,10:37,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Scan,10:37,saveinternal,Method,MindMapMapModel,,,Debugging,,Eclipse,,
Step Over,10:40,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Scan,10:40,saveinternal,Method,MindMapMapModel,,,Debugging,,Eclipse,,
Step Over,10:41,,Instruction,MindMapMapModel,saveInternal,,Debugging,Mouse,Eclipse,,
Show Variable,10:45,isInternal,Local Variable,MindMapMapModel,saveInternal,,Debugging,Mouse,Variables Window,,
Show Variable,10:47,e ,Local Variable,MindMapMapModel,saveInternal,,Debugging,Mouse,Variables Window,,
Scan,10:48,MindMapModel,Class,,,,Debugging,Mouse,Variables Window,,
Expand,10:55,e ,Variable,MindMapMapModel,,,Debugging,,Variables Window,,
Show Variable,10:58,cause,Local Variable,MindMapMapModel,saveInternal,,Debugging,Mouse,Variables Window,,
