Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
View Mylyn Task,00:03,,,,,,Other,,Mylyn Window,,
Activate Mylyn Task,00:55,,,,,,Other,Mouse,Mylyn Task List,,
Run,01:46,FreeMind_integration,Project,,,,Debugging,Mouse,Package Explorer,Reproducing Bug,
Expand,05:23,FreeMind_integration,Project,,,,Navigation,Mouse,Package Explorer,,
File Search,05:44,“”Save Failed””,String,,,Workspace Contains String,Navigation,Mouse,Search Dialog,0 matches in workspace,
File Search,06:12,“failed”,String,,,Workspace Contains String,Navigation,Mouse,Search Dialog,134 matches in workspace,
Scan,06:29,,Search Results,,,,Navigation,,Results Window,,
Show Instruction,06:38,,Instruction,MindMapMapModel,saveInternal,Instruction Matches String,Navigation,Mouse,Results Window,,
Show Instruction,06:55,,Instruction,ControllerAdapter.SaveAction,actionPerformed,Instruction Matches String,Navigation,Mouse,Results Window,,
Scan,07:03,,Search Results,,,,Navigation,,Results Window,,
Open File,07:26,Resources_en.properties,File,,,File contains String,Navigation,Mouse,Results Window,,
Show Instruction,08:23,,Instruction,ControllerAdapter.SaveAction,actionPerformed,Instruction Matches String,Navigation,Mouse,Results Window,,
Open Call Hierarchy,08:35,SaveAction,Class,ControllerAdapter ,,Members Calling Constructor,Navigation,Mouse,Java Editor,,
Expand,08:37,save ,Method,MindMapController,,Method Calls Constructor,Navigation,Mouse,Results Window,,
Expand,08:38,save ,Method,SchemeController,,Method Calls Constructor,Navigation,Mouse,Results Window,,
Scan,08:38,,Search Results,,,,Navigation,,Results Window,,
Expand,08:58,setAllActions,Method,MindMapController,,Method Calls Constructor,Navigation,Mouse,Results Window,,
Run,09:10,FreeMind_integration,Project,,,,Debugging,Mouse,Package Explorer,Reproducing Bug,
Scan,10:14,,Stacktrace,,,,Navigation,,Console Window,,
Show Instruction,10:59,,Instruction,EncryptedMindMapNode,save ,Stacktrace,Navigation,Mouse,Results Window,Click on Stacktrace,
Open Type,11:09,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,11:09,,Stacktrace,,,,Navigation,,Console Window,,
Open Type,12:16,EncryptedMindMapNode,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
