Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
View Mylyn Task,00:03,,,,,,Other,,Mylyn Window,,
Activate Mylyn Task,00:49,,,,,,Other,Mouse,Mylyn Window,,
Run ,01:01,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Expand,03:48,PasswordSafeSWT,Project,,,,Navigation,Mouse,Package Explorer,,
Expand,03:49,src,Source Folder,,,Project Contains Source Folder,Navigation,Keyboard,Package Explorer,,
Expand,04:01,org.pwsafe.passwordsafeswt.dialog,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,04:01,org.pwsafe.passwordsafeswt.dialog,Package,,,Package Contains Classes,Navigation,,Package Explorer,,
Collapse,04:04,org.pwsafe.passwordsafeswt.dialog,Package,,,,Navigation,Mouse,Package Explorer,,
Expand,04:06,org.pwsafe.passwordsafeswt.model,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,04:06,org.pwsafe.passwordsafeswt.model,Package,,,Package Contains Classes,Navigation,,Package Explorer,,
Open Type,04:18,AbstractTableLabelProvider,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,04:18,AbstractTableLabelProvider,Class,,,,Navigation,,Java Editor,,
Close Window,04:28,AbstractTableLabelProvider,Class,,,,Navigation,Mouse,Java Editor,,
Open Type,04:29,PasswordTableContentProvider,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,04:29,PasswordTableContentProvider,Class,,,,Navigation,,Java Editor,,
Expand,05:05,PasswordSafeLib,Project,,,,Navigation,Mouse,Package Explorer,,
Expand,05:07,src,Source Folder,,,Project Contains Source Folder,Navigation,Keyboard,Package Explorer,,
Expand,05:29,org.pwsafe.lib,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,05:29,org.pwsafe.lib,Package,,,,Navigation,,Package Explorer,,
Collapse,05:31,org.pwsafe.lib,Package,,,,Navigation,Mouse,Package Explorer,,
Expand,05:35,PasswordSafeJ,Project,,,,Navigation,Keyboard,Package Explorer,,
Expand,05:36,src,Source Folder,,,Project Contains Source Folder,Navigation,Keyboard,Package Explorer,,
Expand,05:36,org.pwsafe.passwordsafej,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,05:36,,Projects,,,,Navigation,,Package Explorer,,
Expand,05:53,Referenced Libraries,Libraries,,,Project References Libraries,Navigation,Mouse,Package Explorer,,
Collapse,05:54,Referenced Libraries,Libraries,,,,Navigation,Mouse,Package Explorer,,
Expand,05:57,Referenced Libraries,Libraries,,,Project References Libraries,Navigation,Mouse,Package Explorer,,
Collapse,06:03,Referenced Libraries,Libraries,,,,Navigation,Mouse,Package Explorer,,
Scan,06:05,,Packages,,,,Navigation,,Package Explorer,,
Expand,06:13,org.pwsafe.passwordsafeswt.state,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Open Type,06:14,LockState,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,06:14,LockState,Class,,,,Navigation,,Java Editor,,
Workspace References,06:42,LockState,Class,,,Workspace References Class,Navigation,Mouse,Java Editor,via Context Menu,
Show Instruction,06:52,,Instruction,EditDialog,update,Instruction References Class,Navigation,Mouse,Results Window,,
Scan,06:52,update ,Method,EditDialog,,,Navigation,,Java Editor,,
Scan,07:13,EditDialog,Class,,,,Navigation,,Java Editor,,
Quick Outline,07:44,EditDialog,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Scan,07:44,EditDialog,Class,,,,Navigation,,Quick Outline PopUp,,
Show Instruction,08:12,,Instruction,EditDialog,update,Instruction References Class,Navigation,Mouse,Results Window,,
Edit Code,08:27,EditDialog,Class,,,,Edit Code,Keyboard,Java Editor,added empty onLock and onUnlock methods,
Quick Outline,09:22,EditDialog,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Scan,09:22,EditDialog,Class,,,,Navigation,,Quick Outline PopUp,,
Set Breakpoint,09:55,,Instruction,EditDialog,update,,Debugging,Mouse,Java Editor,,
Debug,10:05,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Scan,10:41,EditDialog,Class,,,,Navigation,,Java Editor,,
Debug,10:43,PasswordSafeSWT,Project,,,,Navigation,Keyboard,Eclipse,Ctrl+3,via Quick Access
Open Type,11:02,OS,Class,,,,Navigation,,Class Editor,,
Open Type,11:33,PasswordDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,11:33,PasswordDialog,Class,,,,Navigation,,Java Editor,,
Open Type,11:44,EditDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,11:44,EditDialog,Class,,,,Navigation,,Java Editor,,
Scan,12:00,,Classes,,,,Navigation,,Package Explorer,,
Open Type,12:29,PasswordDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,12:29,PasswordDialog,Class,,,,Navigation,,Java Editor,,
Open Type,12:44,PasswordTableContentProvider,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,12:44,PasswordTableContentProvider,Class,,,,Navigation,,Java Editor,,
Workspace Declarations,12:59,PasswordTableContentProvider,Class,,,Declarations in Workspace,Navigation,Keyboard,Java Editor,Ctrl+G,
Quick Hierarchy,13:06,PasswordTableContentProvider,Class,,,Hierarchy of Type,Navigation,Keyboard,Java Editor,Ctrl+T,
Expand,13:38,org.pwsafe.passwordsafeswt.model,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,13:38,org.pwsafe.passwordsafeswt.model,Package,,,,Navigation,,Package Explorer,,
Expand,13:56,org.pwsafe.passwordsafeswt.dialog,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,13:57,org.pwsafe.passwordsafeswt.dialog,Package,,,,Navigation,,Package Explorer,,
Open Type,14:15,EditDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Set Breakpoint,14:21,,Instruction,EditDialog,EditDialog,,Debugging,Mouse,Java Editor,,
Debug,14:24,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,Breakpoint not met,
Debug,14:39,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Scan,15:12,EditDialog,Class,,,,Navigation,,Java Editor,,
Hit Breakpoint,15:42,,Instruction,EditDialog,EditDialog,,Debugging,,Java Editor,,
Remove Breakpoint ,15:46,,Instruction,EditDialog,EditDialog,,Debugging,,Java Editor,,
Resume,15:48,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,15:52,EditDialog,Class,,,,Navigation,,Java Editor,,
Edit Code,16:25,,Methods,EditDialog,,,Edit Code,Keyboard,Java Editor,removed  methods onLock and onUnlock,
Open Type,16:38,PasswordTableContentProvider,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,16:38,PasswordTableContentProvider,Class,,,,Navigation,,Java Editor,,
Set Breakpoint,16:42,,Instruction,PasswordTableContentProvider,inputChanged,,Debugging,Mouse,Java Editor,,
Resume,16:49,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,16:50,,Instruction,EditDialog,update,,Debugging,,Java Editor,,
Resume,16:55,,Instruction,,,,Debugging,Mouse,Eclipse,,
Remove Breakpoint ,17:01,,Instruction,EditDialog,update,,Debugging,,Java Editor,,
Resume,17:03,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,17:09,,Instruction,PasswordTableContentProvider,inputChanged,,Debugging,,Java Editor,,
Show Variables,17:11,PasswordTableContentProvider,Obejct,,,,Debugging,Mouse,Variables Window,,
Expand,17:13,oldInput,Field,PasswordTableContentProvider,,,Debugging,Mouse,Variables Window,,
Show Variable,17:19,oldInput.sparseFields,Obejct,RegularEnumSet,,,Debugging,Mouse,Variables Window,,
Show Variable,17:21,oldInput.sparseEntries,Obejct,ArrayList,,,Debugging,Mouse,Variables Window,,
Show Variable,17:21,oldInput.sparseFields,Obejct,RegularEnumSet,,,Debugging,Mouse,Variables Window,,
Expand,17:24,newInput,Field,PasswordTableContentProvider,,,Debugging,Mouse,Variables Window,,
Show Variable,17:25,newInput.sparseEntries,Obejct,ArrayList,,,Debugging,Mouse,Variables Window,,
Show Variable,17:28,newInput.sparseFields,Obejct,RegularEnumSet,,,Debugging,Mouse,Variables Window,,
Show Variable,17:29,oldInput.sparseFields,Obejct,RegularEnumSet,,,Debugging,Mouse,Variables Window,,
Show Variable,17:31,newInput.sparseFields,Obejct,RegularEnumSet,,,Debugging,Mouse,Variables Window,,
Resume,17:38,,Instruction,,,,Debugging,Mouse,Eclipse,,
Expand,17:42,newInput,Field,PasswordTableContentProvider,,,Debugging,Mouse,Variables Window,,
Show Variable,17:45,newInput.sparseFields,Obejct,RegularEnumSet,,,Debugging,Mouse,Variables Window,,
Resume,17:47,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,17:52,inputChanged,Method,PasswordTableContentProvider,,,Navigation,,Java Editor,,
Hit Breakpoint,18:01,,Instruction,PasswordTableContentProvider,inputChanged,,Debugging,,Java Editor,,
Resume,18:04,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,18:22,org.pwsafe.passwordsafeswt.dialog,Package,,,,Navigation,,Package Explorer,,
Workspace Declarations,18:46,PasswordTableContentProvider,Class,,,Declaration in Workspace,Navigation,Keyboard,Java Editor,Ctrl+G,
Workspace References,18:58,PasswordTableContentProvider,Class,,,Workspace References Class,Navigation,Mouse,Java Editor,,
