Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
View Mylyn Task,00:03,,,,,,Other,,Mylyn Window,,
Activate Mylyn Task,00:27,,,,,,Other,Mouse,Mylyn TaskList,,
Run ,00:40,Rachota,Project,,,,Debugging,Mouse,Eclipse,Reproduced Bug,
Expand,02:04,Rachota,Project,,,,Navigation,Mouse,Package Explorer,,
Expand,02:06,JRE System Library,Libraries,,,,Navigation,Mouse,Package Explorer,,
Collapse,02:09,JRE System Library,Libraries,,,,Navigation,Mouse,Package Explorer,,
Expand,02:10,src,Source Folder,,,Project Contains Source Folder,Navigation,Mouse,Package Explorer,,
Scan,02:10,src,Source Folder,,,,Navigation,,Package Explorer,,
Expand,02:14,org.cesiko.rachota.gui,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Scan,02:14,org.cesiko.rachota.gui,Package,,,Package Contains Classes,Navigation,,Package Explorer,,
Run ,02:33,Rachota,Project,,,,Debugging,Mouse,Eclipse,Comparing GUI Class Names with Actual GUI,
Expand,02:59,MainWindow,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Open Type,03:01,MainWindow,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,03:01,MainWindow,Class,,,,Navigation,,Java Editor,,
Local Find,04:05,“History”,String,,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Collapse,04:17,MainWindow,Class,,,,Navigation,Mouse,Package Explorer,,
Scan,04:17,org.cesiko.rachota.gui,Package,,,Package Contains Classes,Navigation,,Package Explorer,,
Expand,04:24,HistoryView,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Open Type,04:25,HistoryView,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,04:25,HistoryView,Class,,,,Navigation,,Java Editor,,
Open Type,04:32,MainWindow,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,04:32,MainWindow,Class,,,,Navigation,,Java Editor,,
Open Type,04:40,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,04:40,HistoryView,Class,,,,Navigation,,Java Editor,,
Local Find,04:42,“Tasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,05:01,valueChanged,Method,HistoryView.<Anonymous ProjectsTreeListener>,HistoryView,,Navigation,,Java Editor,Comparing Code with Actual GUI,
Highlight,06:10,ProjectsModel,Type,,,File Uses Type,Navigation,Mouse,Java Editor,Click on Type Occurrence,
Local Find,06:20,“Tasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,06:39,“Tasks”,String,HistoryView,,File Contains String,Navigation,Mouse,Find Dialog,,
Find Next,06:42,“Tasks”,String,HistoryView,,File Contains String,Navigation,Mouse,Find Dialog,,
Scan,06:42,HistoryView,Class,HistoryView,,,Navigation,,Java Editor,,
View Javadoc,07:19,share,Local Variable,HistoryView,HistoryView,,Navigation,Mouse,Java Editor,Mouse hover,
Open Type,07:52,MainWindow,Class,,,Package Contains Class,Navigation,Mouse,Java Editor,Click on Tab,
Scan,07:52,MainWindow,Class,,,,Navigation,,Java Editor,Comparing Code with Actual GUI,
Local Find,08:20,“History”,String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,08:23,“History”,String,MainWindow,,File Contains String,Navigation,Mouse,Find Dialog,,
Find Next,08:28,“History”,String,MainWindow,,File Contains String,Navigation,Mouse,Find Dialog,,
Find Next,08:29,“History”,String,MainWindow,,File Contains String,Navigation,Mouse,Find Dialog,,
Find Next,08:35,“History”,String,MainWindow,,File Contains String,Navigation,Mouse,Find Dialog,,
Open Type,08:36,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,08:42,HistoryChart,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,08:42,HistoryChart,Class,,,,Navigation,,Java Editor,,
Open Type,09:13,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,09:13,HistoryView,Class,,,,Navigation,,Java Editor,Comparing Code with Actual GUI,
Local Find,09:57,“Tasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,10:05,"“Tasks”, [Whole word]",String,HistoryView,,File Contains String,Navigation,Mouse,Find Dialog,,
Local Find,10:17,“Add Filter”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,10:17,btAddFilterActionPerformed,Method,HistoryView,,Class Contains Method,Navigation,,Java Editor,,
Local Find,11:03,“btAddFilterActionPerformed”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,11:03,HistoryView,Class,,,,Navigation,,Java Editor,Comparing Code with Actual GUI,
Local Find,14:19,“[=]”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,String not found
Local Find,14:21,“[+]”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,String not found
Local Find,14:30,“Group tasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,14:30,chbGroupTasksActionPerformed,Method,HistoryView,,Class Contains Method,Navigation,,Java Editor,,
Scan,14:40,HistoryView,Class,,,,Navigation,,Java Editor,Comparing Code with Actual GUI,
Collapse,14:52,btFiltersMouseClicked,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,14:55,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,14:57,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,14:58,chbGroupTasksActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,14:59,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:00,cmbFilterNameItemStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:01,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:02,cmbContentRuleItemStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:05,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:07,btEditFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:08,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:09,btRemoveFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:10,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:11,btAddFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:12,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:13,txtDateMouseClicked,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:16,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:17,cmbPeriodItemStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:20,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,A ,
Collapse,15:21,btForwardActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,15:22,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,B ,
Expand,15:24,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,A ,
Read Comment,15:24,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,A ,
Collapse,15:28,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,A ,
Expand,15:29,btForwardActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Scan,15:29,btForwardActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
View Javadoc,15:37,ProjectTreeModel,Type,HistoryView,btForwardActionPerformed,,Navigation,Mouse,Java Editor,Mouse hover,
