Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Reproduce Bug,0:00,,,,,,,Both,Eclipse,,
Expand,3:14,Rachota,Project,,,,Navigation,Mouse,Package Explorer,via Package Explorer,
Expand,3:16,src,Source Folder,,,Project Contains Source Folder,Navigation,Mouse,Package Explorer,via Package Explorer,
Expand,3:21,org.cesilko.rachota.gui,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Open Type,3:25,HistoryView,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,3:31,HistoryView(),Method,HistoryView,,Class Contains Method,Navigation,,Java Editor,,
Open Type,4:39,TaskDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,4:58,TaskDialog,Class,,,,Navigation,,Java Editor,,
Expand,5:03,TaskDialog,Class,,,,Navigation,Mouse,Package Explorer,via Package Explorer,
Show Field,5:05,btOK,Field,TaskDialog,,Class Contains Field,Navigation,Mouse,Package Explorer,via Package Explorer,
Find,5:12,„btOK“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Open Declaration,5:18,btOKActionPerformed,Method,TaskDialog,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,5:20,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
Open Declaration,6:11,firePropertyChange,Method,Component,,Declaration,Navigation,Keyboard,Java Editor,F3,Part of Swing – no Sources attached
Close Window,6:17,Component.class,Class-File,,,,Navigation,Mouse,Java Editor,,
Find,6:21,„task_created“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,nothing found
Search – Java,6:34,„task_created“,String,,,Java Workspace Matches String,Navigation,Mouse,Find Dialog,,nothing found
Open Type,6:53,HistoryView,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Run ,7:01,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,
Quick Outline,7:46,HistoryView,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Show Field,8:01,btForward,Field,HistoryView,,Class Contains Field,Navigation,Mouse,Java Editor,via Quick Outline,
Find,8:11,„btForward“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Open Declaration,8:19,btForwardActionPerformed(),Method,HistoryView,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,8:23,btForwardActionPerformed(),Method,HistoryView,,,Navigation,,Java Editor,,
Scan ,8:51,HistoryView(),Method,HistoryView,,,Navigation,,Java Editor,,
Project References,8:57,jtProjects,Field,HistoryView,,Reference,Navigation,Mouse,Results Window,,
Show Instruction,9:06,,Instruction,HistoryView,HistoryView(),Reference,Navigation,Mouse,Results Window,via Project References,
Scan ,9:11,HistoryView(),Method,HistoryView,,,Navigation,,Java Editor,,
Quick Outline,9:18,HistoryView,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Show Instruction,9:22,,Instruction,HistoryView.<Anonymous ProjectsTreeListener>,,Class Contains Instruction,Navigation,Mouse,Java Editor,via Quick Outline,
Scan,9:23,valueChanged,Method,HistoryView.<Anonymous ProjectsTreeListener>,,,Navigation,,Java Editor,,
Quick Outline,9:36,HistoryView,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Show Method,9:47,HistoryView(),Method,HistoryView,,Class Contains Method,Navigation,Mouse,Java Editor,via Quick Outline,
Scan,9:48,HistoryView(),Method,HistoryView,,,Navigation,,Java Editor,,
Project References,9:55,HistoryView(),Method,HistoryView,,Reference,Navigation,Mouse,Results Window,,
Show Instruction,9:58,,Instruction,MainWindow,MainWindow(),Reference,Navigation,Mouse,Results Window,via Project References,
Open Declaration,10:04,HistoryView(),Method,HistoryView,,Declaration,Navigation,Keyboard,Java Editor,F3,
Find,10:10,„jtProjects“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Find,10:11,„jtProjects“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,10:12,„jtProjects“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,10:13,„jtProjects“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,10:14,„jtProjects“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,10:15,„jtProjects“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,10:16,„jtProjects“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
