Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2,
View Mylyn Task,0:03,,,,,,Other,,Mylyn Window,,,
Activate Mylyn Task,0:54,,,,,,Other,Mouse,Mylyn TaskList,,,
View Mylyn Context,1:00,,,,,,Other,,Mylyn Window,,,
View Mylyn Task,1:07,,,,,,Other,,Mylyn Window,,,
Run ,1:44,Rachota,Project,,,,Debugging,Mouse,Eclipse,Reproduce Bug,,
Run ,3:40,Rachota,Project,,,,Debugging,Mouse,Eclipse,Reproduce Bug,,
Expand,4:05,Rachota,Project,,,,Navigation,Mouse,Package Explorer,,,
Expand,4:06,src,Source Folder,,,Project Contains Source Folder,Navigation,Mouse,Package Explorer,,,
Expand,4:08,org.cesiko.rachota.core,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,,
Collapse,4:09,org.cesiko.rachota.core,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,,
Expand,4:11,org.cesiko.rachota.core,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,,
Open Type,4:17,HistoryView,Class,,,,Navigation,Keyboard,Eclipse,Ctrl+Shift+O,Search String: “history”,
Scan,4:17,HistoryView,Class,,,,Navigation,,Java Editor,,,
Set Breakpoint,4:40,,Instruction,HistoryView,HistoryView,,Debugging,Mouse,Java Editor,,,
Debug,4:43,Rachota,Project,,,,Debugging,Mouse,Eclipse,,,
Hit Breakpoint,4:49,,Instruction,HistoryView,HistoryView,,Debugging,,Java Editor,,,
Setep Over,4:51,,Instruction,HistoryView,HistoryView,,Debugging,Mouse,Eclipse,,,
Expand,4:52,this,Variable,HistoryView,,,Navigation,Mouse,Variables Window,,,
Scan,4:57,HistoryView,Class,,,,Navigation,,Java Editor,,,
Resume,5:00,,,,,,Debugging,Mouse,Eclipse,,,
Terminate,5:16,,,,,,Debugging,Mouse,Eclipse,,,
Link Package Explorer With Editor,5:21,,,,,,Navigation,Mouse,Package Explorer,,,
Scan,5:22,org.cesiko.rachota.gui,Package,,,,Navigation,,Package Explorer,,,
Show Outline,5:49,HistoryView,Class,,,,Navigation,Keyboard,Quick Access,Ctrl+3,Search String: “outline”,
Scan,6:03,HistoryView,Class,,,,Navigation,,Outline Window,,,
Scan,6:16,HistoryView,Class,,,,Navigation,Keyboard,Quick Outline,Ctrl+O,Search String: “*task”,
Show Field,6:27,tbTasks,Field,HistoryView,HistoryView,,Navigation,Keyboard,Java Editor,via Quick Outline,,
Next Use,6:30,,Instruction,HistoryView,HistoryView,Instruction References Field,Navigation,Keyboard,Java Editor,Ctrl+K,,
Next Use,6:33,,Instruction,HistoryView,HistoryView,Instruction References Field,Navigation,Keyboard,Java Editor,Ctrl+K,,
Scan,6:33,HistoryView,Class,,,,Navigation,Keyboard,Java Editor,,,
Next Use,6:44,,Instruction,HistoryView,propertyChange,Instruction References Field,Navigation,Keyboard,Java Editor,Ctrl+K,,
Scan,6:44,,Instruction,HistoryView,propertyChange,,Navigation,Keyboard,Java Editor,,,
Scan,7:19,HistoryView,Class,,,,Navigation,,Outline Window,,,
Set Breakpoint,7:35,,Instruction,HistoryView,propertyChange,,Debugging,Mouse,Java Editor,,,
Incremental Find,7:48,“addProperty”,String,HistoryView,,,Navigation,Keyboard,Java Editor,Ctrl+J,,
Find Next,7:49,,,,,,Navigation,Keyboard,Java Editor,Ctrl+K,no Other Occurrence,
Find Previous,7:52,,,,,,Navigation,Keyboard,Java Editor,Ctrl+Shift+K,no Other Occurrence,
Find Next,7:53,,,,,,Navigation,Keyboard,Java Editor,Ctrl+K,no Other Occurrence,
Scan,7:57,HistoryView,Class,,,,Navigation,Keyboard,Quick Outline,Ctrl+O,Search String: “addprop”,no Occurrence
Open Declaration,8:06,PieChart,Class,,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,,
Back,8:10,HistoryView,Class,,,,Navigation,Mouse,Eclipse,,,
Incremental Find,8:12,“implements property”,String,HistoryView,,,Navigation,Keyboard,Java Editor,Ctrl+J,no Occurrence,
Incremental Find,8:19,“implements ”,String,HistoryView,,,Navigation,Keyboard,Java Editor,Ctrl+J,,
Find Next,8:20,,,HistoryView,,,Navigation,Keyboard,Java Editor,Ctrl+K,,
Scan,8:26,HistoryView,Class,,,,Navigation,,Java Editor,,,
Incremental Find,8:36,“addProper”,String,HistoryView,,,Navigation,Keyboard,Java Editor,Ctrl+J,,
Open Declaration,8:39,addPropertyChangeListener,Method,Container,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,no Source Attached,
Close Window,8:41,Container,Class,,,,Navigation,Mouse,Java Editor,,,
Scan,8:41,HistoryView,Class,,,,Navigation,,Java Editor,,,
Scan,9:01,HistoryView,Class,,,,Navigation,Keyboard,Quick Outline,Ctrl+O,Search String: “set”,1 Occurrence
Show Call Hierarchy,9:09,HistoryView,Class,,,Call Hierarchy,Navigation,Mouse,Java Editor,,,
Show Instruction,9:11,,Instruction,MainWindow,MainWindow,Instruction Calls Constructor,Navigation,Mouse,Call Hierarchy Window,,,
Show Javadoc,9:27,DayView,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,,
Open Type,9:36,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,,
Incremental Find,9:48,“propertychanged”,String,HistoryView,,,Navigation,Keyboard,Java Editor,Ctrl+J,no Occurrence,
Incremental Find,10:08,“propertych”,String,HistoryView,,,Navigation,Keyboard,Java Editor,Ctrl+J,,
Show Instruction,10:11,,Instruction,HistoryView,HistoryView,,Navigation,Keyboard,Java Editor,via Incremental Find,,
Scan,10:24,HistoryView,Class,,,,Navigation,Keyboard,Quick Outline,Ctrl+O,Search String: “*task”,
Show Field,10:28,tbTasks,Field,HistoryView,HistoryView,,Navigation,Keyboard,Java Editor,via Quick Outline,,
Find Next,10:32,,Instruction,HistoryView,,Instruction References Field,Navigation,Keyboard,Java Editor,Ctrl+K,,
Find Next,10:33,,Instruction,HistoryView,,Instruction References Field,Navigation,Keyboard,Java Editor,Ctrl+K,,
Find Previous,10:34,,Instruction,HistoryView,,Instruction References Field,Navigation,Keyboard,Java Editor,Ctrl+K,,
Find Next,10:35,,Instruction,HistoryView,,Instruction References Field,Navigation,Keyboard,Java Editor,Ctrl+K,,
Scan,11:00,filterTasks,Method,HistoryView,,,Navigation,,Java Editor,,,
Set Breakpoint,11:11,,Instruction,HistoryView,filterTasks,,Debugging,Mouse,Java Editor,,,
Debug,11:15,Rachota,Project,,,,Debugging,Mouse,Eclipse,,,
Debug,11:30,Rachota,Project,,,,Debugging,Mouse,Eclipse,,,
Hit Breakpoint,11:41,,Instruction,HistoryView,filterTasks,,Debugging,,Java Editor,,,
Remove Breakpoint,11:52,,Instruction,HistoryView,HistoryView,,Debugging,Mouse,Java Editor,,,
Resume,11:54,Rachota,Project,,,,Debugging,Mouse,Eclipse,,,
Hit Breakpoint,11:54,,Instruction,HistoryView,filterTasks,,Debugging,,Java Editor,,,
Scan,12:06,,Vairables,HistoryView,,,Navigation,,Variables Window,,,
